TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT2461;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1150;50;60 x 12;2;R$ 775,99
GIFT2462;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;2300;100;60 x 12;2;R$ 1.491,99
CHRA3E10;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR 3 ESTRELAS - 10g;4X4;230;10;28 x 8;7;R$ 67,63
CHRA3E100;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR 3 ESTRELAS - 10g;4X4;2300;100;28 x 8;7;R$ 556,51
CHRA3E25;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR 3 ESTRELAS - 10g;4X4;575;25;28 x 8;7;R$ 152,29
CHRA3E50;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR 3 ESTRELAS - 10g;4X4;1150;50;28 x 8;7;R$ 290,12
CHRAB10;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR BOTINHA - 10g;4X4;230;10;22.5 x 16.5;7;R$ 88,28
CHRAB100;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR BOTINHA - 10g;4X4;2300;100;22.5 x 16.5;7;R$ 748,55
CHRAB25;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR BOTINHA - 10g;4X4;575;25;22.5 x 16.5;7;R$ 202,89
CHRAB50;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR BOTINHA - 10g;4X4;1150;50;22.5 x 16.5;7;R$ 388,21
CHMA10;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO MOSQUETAO ABRIDOR - 10g;4X4;190;10;16 x 23.6;7;R$ 88,28
CHMA100;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO MOSQUETAO ABRIDOR - 10g;4X4;1900;100;16 x 23.6;7;R$ 748,05
CHMA25;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO MOSQUETAO ABRIDOR - 10g;4X4;475;25;16 x 23.6;7;R$ 202,89
CHMA50;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO MOSQUETAO ABRIDOR - 10g;4X4;950;50;16 x 23.6;7;R$ 388,21
CHAM10;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR MULTIFUNCAO - 10g;4X0;90;10;50 x 11;7;R$ 58,34
CHAM100;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR MULTIFUNCAO - 10g;4X0;900;100;50 x 11;7;R$ 496,62
CHAM25;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR MULTIFUNCAO - 10g;4X0;225;25;50 x 11;7;R$ 134,74
CHAM50;ABRIDORES E CHAVEIROS;CHAVEIRO METAL RESINADO ABRIDOR MULTIFUNCAO - 10g;4X0;450;50;50 x 11;7;R$ 257,61
